Subject,Number,Name,Special Title,CRN,Credit,Type,Session,Time,Day,Location,Instructor
CS,100,Freshman Orientation,,30094,,Lecture,AL1,04:30PM - 05:20PM,W,THEAT Lincoln Hall,"Gunter, E"
CS,101,Intro Computing: Engrg & Sci,,35879,,Lecture,AL1,09:00AM - 09:50AM,MW,AUD Foellinger Auditorium,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35886,,Laboratory-Discussion,AYA,01:00PM - 02:50PM,M,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35889,,Laboratory-Discussion,AYB,03:00PM - 04:50PM,M,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35890,,Laboratory-Discussion,AYC,05:00PM - 06:50PM,M,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35893,,Laboratory-Discussion,AYD,09:00AM - 10:50AM,T,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,61077,,Laboratory-Discussion,AYE,11:00AM - 12:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35915,,Laboratory-Discussion,AYF,01:00PM - 02:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35896,,Laboratory-Discussion,AYG,03:00PM - 04:50PM,T,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35902,,Laboratory-Discussion,AYH,01:00PM - 02:50PM,W,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35907,,Laboratory-Discussion,AYI,03:00PM - 04:50PM,W,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35899,,Laboratory-Discussion,AYJ,05:00PM - 06:50PM,W,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35918,,Laboratory-Discussion,AYK,09:00AM - 10:50AM,R,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,61078,,Laboratory-Discussion,AYL,11:00AM - 12:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35910,,Laboratory-Discussion,AYM,01:00PM - 02:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,35913,,Laboratory-Discussion,AYN,03:00PM - 04:50PM,R,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,62682,,Laboratory-Discussion,AYO,09:00AM - 10:50AM,F,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,62683,,Laboratory-Discussion,AYP,11:00AM - 12:50PM,F,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,62913,,Laboratory-Discussion,AYQ,01:00PM - 02:50PM,F,L416 Digital Computer Laboratory,"Davis, N"
CS,101,Intro Computing: Engrg & Sci,,62914,,Laboratory-Discussion,AYR,03:00PM - 04:50PM,F,L416 Digital Computer Laboratory,"Davis, N"
CS,105,Intro Computing: Non-Tech,,35823,,Lecture,AL1,09:00AM - 10:45AM,F,AUD Foellinger Auditorium,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,47174,,Laboratory-Discussion,AYA,12:30PM - 01:50PM,M,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35827,,Laboratory-Discussion,AYB,02:00PM - 03:20PM,M,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35828,,Laboratory-Discussion,AYC,03:30PM - 04:50PM,M,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35847,,Laboratory-Discussion,AYD,05:00PM - 06:20PM,M,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35831,,Laboratory-Discussion,AYE,06:30PM - 07:50PM,M,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35833,,Laboratory-Discussion,AYG,12:30PM - 01:50PM,T,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35835,,Laboratory-Discussion,AYH,02:00PM - 03:20PM,T,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35836,,Laboratory-Discussion,AYI,03:30PM - 04:50PM,T,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35837,,Laboratory-Discussion,AYJ,05:00PM - 06:20PM,T,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35838,,Laboratory-Discussion,AYK,06:30PM - 07:50PM,T,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35843,,Laboratory-Discussion,AYM,12:30PM - 01:50PM,W,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,47175,,Laboratory-Discussion,AYN,02:00PM - 03:20PM,W,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35854,,Laboratory-Discussion,AYP,03:30PM - 04:50PM,W,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35856,,Laboratory-Discussion,AYQ,05:00PM - 06:20PM,W,101 901 W Oregon,"Harris, A
Zilles, C"
CS,105,Intro Computing: Non-Tech,,35858,,Laboratory-Discussion,AYR,06:30PM - 07:50PM,W,101 901 W Oregon,"Harris, A
Zilles, C"
